# name,mass,radius,orbital_period,star_distance,star_mass,discovered,detection_type
AU Mic b,0.053,0.3908,8.462991,9.79,0.5,2020.0,Primary Transit
AU Mic c,0.0463,0.3131,18.858991,9.79,0.5,2020.0,Primary Transit
BD+03 2562 b,,,481.9,2618.0,1.14,2017.0,Radial Velocity
BD+14 4559 b,,,268.94,50.0,0.86,2009.0,Radial Velocity
BD+15 2375 b,,,153.22,774.0,1.08,2016.0,Radial Velocity
BD+15 2940 b,,,137.48,585.0,1.1,2013.0,Radial Velocity
BD+20 2457 b,,,379.63,1670.0,2.8,2009.0,Radial Velocity
BD+20 2457 c,,,621.99,1670.0,2.8,2009.0,Radial Velocity
BD+20 274 b,,,578.2,,0.8,2010.0,Default
BD+20 594 b,0.07,0.23,41.6855,180.39,1.67,2016.0,Primary Transit
BD+24 4697 b,,,145.08100000000002,44.7922,0.75,2016.0,Radial Velocity
BD+26 1888 b,,,536.78,38.0,0.76,2016.0,Radial Velocity
BD+45 564 b,,,307.88,53.7,,2021.0,Radial Velocity
BD+48 738 b,,,392.6,,0.74,2011.0,Radial Velocity
BD+48 740 b,,,733.0,678.933,1.09,2012.0,Default
BD+49 828 b,,,2590.0,,1.52,2015.0,Radial Velocity
BD+55 362 b,,,265.59,52.65,,2021.0,Radial Velocity
BD+63 1405 b,,,1198.48,38.09,,2021.0,Radial Velocity
BD-00 4475 b,,,723.2,42.69,,2021.0,Radial Velocity
BD-06 1339 b,,,3.8728,20.0,0.7,2013.0,Radial Velocity
BD-06 1339 c,,,125.94,20.0,0.7,2013.0,Radial Velocity
BD-06 1339 d,,,487.0,20.0,0.7,2014.0,Radial Velocity
BD-08 2823 b,,,5.6,42.2,0.74,2009.0,Radial Velocity
BD-08 2823 c,,,237.6,42.2,0.74,2009.0,Radial Velocity
BD-10 3166 b,,1.03,3.4878,66.0,0.99,2000.0,Radial Velocity
BD-11 4672 b,,,1634.0,27.3,0.5710000000000001,2010.0,Radial Velocity
BD-11 4672 c,,,74.2,27.3,0.5710000000000001,2020.0,Radial Velocity
BD-17 63 b,,,655.6,34.6,0.74,2008.0,Radial Velocity
CD Cet b,0.012440000000000001,,2.2907,8.609,0.161,2020.0,Radial Velocity
CD-35 2722 b,31.0,,,21.3,0.4,2011.0,Imaging
CFBD 1458 B,10.5,,,23.1,,2011.0,Imaging
CFBDS 1458 A,24.1,,,23.1,,2010.0,Imaging
CFBDS0059,22.5,,,13.0,,2008.0,Imaging
CFBDSIR J2149-0403 b,21.0,,,55.2,,2017.0,Imaging
CHXR 73 b,12.0,,,,0.35,2006.0,Imaging
CI Tau b,11.6,,8.9891,158.0,0.9,2016.0,Radial Velocity
COCONUTS-2 b,6.4,1.12,,10.89,0.37,2021.0,Imaging
CT Cha b,17.0,2.2,,165.0,,2008.0,Imaging
CWISEP J144606.62-231717.8,11.0,,,10.1,,2019.0,Imaging
CWISEP J1935-1546,11.0,,,10.1,,2019.0,Imaging
Cha Ha 8 b,,,1895.0,196.76,0.085,2007.0,Radial Velocity
CoRoT-1 b,1.03,1.49,1.5089556999999998,460.0,0.95,2007.0,Primary Transit
CoRoT-10 b,2.75,0.97,13.2406,345.0,0.89,2010.0,Primary Transit
CoRoT-11 b,2.33,1.43,2.994325,560.0,1.27,2010.0,Primary Transit
CoRoT-12 b,0.917,1.44,2.828042,1150.0,1.078,2010.0,Primary Transit
CoRoT-13 b,1.308,0.885,4.03519,1310.0,1.09,2010.0,Primary Transit
CoRoT-14 b,7.6,1.09,1.51214,1340.0,1.13,2010.0,Primary Transit
CoRoT-15 b,63.4,1.12,3.0603599999999997,,,2010.0,Primary Transit
CoRoT-16 b,0.535,1.17,5.35227,840.0,1.0979999999999999,2010.0,Primary Transit
CoRoT-17 b,2.43,1.02,3.768125,920.0,1.04,2010.0,Primary Transit
CoRoT-18 b,3.47,1.31,1.9000693,870.0,0.95,2011.0,Primary Transit
CoRoT-19 b,1.11,1.29,3.89713,800.0,1.21,2011.0,Primary Transit
CoRoT-2 b,3.31,1.465,1.7429964,300.0,0.97,2007.0,Primary Transit
CoRoT-20 b,4.24,0.84,9.24285,1230.0,1.14,2011.0,Primary Transit
CoRoT-21 b,2.26,1.3,2.72474,,1.29,2011.0,Primary Transit
CoRoT-22 b,0.06,0.4354,9.755980000000001,592.0,1.099,2011.0,Primary Transit
CoRoT-23 b,2.8,1.08,3.6314,600.0,1.14,2011.0,Primary Transit
CoRoT-24 b,0.018000000000000002,0.33,5.1134,600.0,0.91,2011.0,Primary Transit
CoRoT-24 c,0.08800000000000001,0.44,11.759,600.0,0.91,2011.0,Primary Transit
CoRoT-25 b,0.27,1.08,4.86069,1000.0,1.09,2012.0,Primary Transit
CoRoT-26 b,0.52,1.26,4.20474,1670.0,1.09,2012.0,Primary Transit
CoRoT-27 b,10.39,1.0070000000000001,3.5753199999999996,,1.05,2012.0,Primary Transit
CoRoT-28 b,,0.955,5.2085099999999995,560.0,1.01,2012.0,Primary Transit
CoRoT-29 b,0.85,0.9,2.8505700000000003,765.0,0.976,2012.0,Primary Transit
CoRoT-3 b,21.66,1.19,4.2567994,680.0,1.41,2008.0,Primary Transit
CoRoT-30 b,2.9,1.0090000000000001,9.06005,960.0,0.98,2017.0,Primary Transit
CoRoT-31 b,0.84,1.46,4.62941,2190.0,1.25,2017.0,Primary Transit
CoRoT-32 b,0.15,0.57,6.718369999999999,,1.09,2017.0,Primary Transit
CoRoT-33 b,59.2,1.1,5.819143,,0.86,2015.0,Primary Transit
CoRoT-4 b,0.72,1.19,9.20205,,1.1,2008.0,Primary Transit
CoRoT-5 b,0.467,1.33,4.0378962,400.0,1.0,2008.0,Primary Transit
CoRoT-6 b,2.96,1.166,8.886593,,1.055,2009.0,Primary Transit
CoRoT-7 b,0.0149,0.136,0.853585,150.0,0.93,2009.0,Primary Transit
CoRoT-7 c,0.042660000000000003,,3.698,150.0,0.93,2009.0,Radial Velocity
CoRoT-8 b,0.2158,0.5692,6.21229,380.0,0.88,2010.0,Primary Transit
CoRoT-9 b,0.84,0.94,95.273804,460.0,0.99,2010.0,Primary Transit
Corot-20 c,,,1675.0,1230.0,1.14,2018.0,Radial Velocity
DE CVn b,,,4098.1,,,2018.0,TTV
DE0630-18 (bc),53.0,,,20.0,,2020.0,Astrometry
DE0630-18 a,58.0,,,20.0,,2008.0,Astrometry
DENIS-P J082303.1-491201 b,28.5,,246.36,20.77,0.07,2013.0,Astrometry
DH Tau b,11.0,,,,0.37,2005.0,Imaging
DP Leo (AB) b,6.05,,10230.0,,0.69,2009.0,Timing
DS Tuc A b,0.08800000000000001,0.5085,8.138268,44.12,0.9590000000000001,2019.0,Primary Transit
DW Lyn b,,,1450.0,,,2013.0,Timing
DW Uma b,,,4967.0,,,2016.0,Radial Velocity
EPIC 201170410 b,,0.09341,6.7987,,,2020.0,Primary Transit
EPIC 201238110 b,,0.16699999999999998,28.1656,159.98,0.41,2019.0,Primary Transit
EPIC 201295312 b,0.0379,0.245,5.65639,483.19,1.15,2016.0,Primary Transit
EPIC 201497682 b,,0.062,2.13174,254.88,0.78,2019.0,Primary Transit
EPIC 201757695 b,,0.08101,2.0478,,,2020.0,Primary Transit
EPIC 201833600 c,,0.08900000000000001,3.9615099999999996,259.33,0.61,2019.0,Primary Transit
EPIC 201841433 b,,0.09300000000000001,4.1698,441.94,0.8,2019.0,Primary Transit
EPIC 205084841 b,0.3883,1.561,11.310099000000001,860.4,1.168,2016.0,Primary Transit
EPIC 205950854 c,,0.11699999999999999,8.050722,245.56,0.88,2019.0,Primary Transit
EPIC 206024342 b,,0.152,4.50756,373.81,0.93,2019.0,Primary Transit
EPIC 206032309 b,,0.09,2.87814,162.09,0.22,2019.0,Primary Transit
EPIC 206042996 b,,0.145,5.29711,457.27,0.56,2019.0,Primary Transit
EPIC 206061524 b,,0.978,5.8797,284.84,,2016.0,Primary Transit
EPIC 206215704 b,,0.08,2.25372,110.22,0.41,2019.0,Primary Transit
EPIC 206317286 b,,0.086,1.5825200000000001,317.2,0.71,2019.0,Primary Transit
EPIC 211442297 b,0.84,1.115,20.273034,418.58,0.95,2017.0,Primary Transit
EPIC 211822797 b,,0.177,21.169860999999997,187.19,0.66,2016.0,Primary Transit
EPIC 211939692.01,,0.23199999999999998,26.8549,,1.22,2019.0,Primary Transit
EPIC 211939692.02,,0.23199999999999998,39.553000000000004,,1.22,2019.0,Primary Transit
EPIC 211945201 b,0.085,0.514,19.49221,182.69,1.17,2018.0,Primary Transit
EPIC 212036875 b,51.0,0.83,5.169919999999999,,1.1241,2019.0,Primary Transit
EPIC 212297394 b,,0.11800000000000001,2.28943,423.35,0.83,2019.0,Primary Transit
EPIC 212424622 b,,0.19399999999999998,18.0983,622.67,1.11,2019.0,Primary Transit
EPIC 212499991 b,,0.14300000000000002,34.885,285.61,0.91,2019.0,Primary Transit
EPIC 212587672 b,,0.1,15.2841,322.88,0.95,2019.0,Primary Transit
EPIC 212737443 b,0.02907,0.231,13.603,347.45,0.69,2019.0,Primary Transit
EPIC 212737443 c,0.0303,0.24,65.55,347.45,0.69,2019.0,Primary Transit
EPIC 219388192 b,36.0,0.846,5.292569,300.0,0.99,2016.0,Primary Transit
EPIC 220554210 c,,0.132,0.70531,502.28,0.94,2019.0,Primary Transit
EPIC 220674823 b,0.0263,0.162,0.571331,246.1,0.97,2016.0,Primary Transit
EPIC 220674823 c,0.018000000000000002,0.244,13.339079000000002,246.1,0.97,2016.0,Primary Transit
EPIC 246193072 b,0.26,0.774,12.4551225,230.4,0.9009999999999999,2020.0,Primary Transit
EPIC 246851721 b,3.0,1.051,6.180235,376.0,1.324,2018.0,Primary Transit
EPIC 249893012 b,0.027530000000000002,0.174,3.5951,324.7,1.05,2020.0,Primary Transit
EPIC 249893012 c,0.04616,0.3274,15.624,324.7,1.05,2020.0,Primary Transit
EPIC 249893012 d,0.03203,0.3515,35.747,324.7,1.05,2020.0,Primary Transit
FL Lyr b,,,4400.0,138.0,2.2,2015.0,Timing
FU Tau b,15.0,,,140.0,0.05,2009.0,Imaging
Fomalhaut b,0.20800000000000002,,320000.0,7.704,1.92,2008.0,Imaging
G 196-3 b,15.0,,,21.805,0.4,1998.0,Imaging
G 264-012 b,,,2.30538,15.985999999999999,0.297,2021.0,Radial Velocity
G 264-012 c,,,8.0518,15.985999999999999,0.297,2021.0,Radial Velocity
G 9-40 b,0.016,0.18100000000000002,5.746007,27.93,0.29,2019.0,Primary Transit
G204-39 b,29.0,,,13.9908,0.36,2010.0,Imaging
GJ 1061 b,,,3.2039999999999997,3.6732,0.12,2019.0,Radial Velocity
GJ 1061 c,,,6.689,3.6732,0.12,2019.0,Radial Velocity
GJ 1061 d,,,12.434000000000001,3.6732,0.12,2019.0,Radial Velocity
GJ 1132 b,0.005220000000000001,0.1035,1.628931,12.04,0.18100000000000002,2015.0,Primary Transit
GJ 1132 c,,,8.929,12.04,0.18100000000000002,2018.0,Radial Velocity
GJ 1214 b,0.025710000000000004,0.24463000000000001,1.580404497,13.0,0.15,2009.0,Primary Transit
GJ 1252 b,0.00658,0.10643,0.5182349,20.38,0.381,2018.0,Primary Transit
