# name,mass,radius,orbital_period,star_distance,star_mass,discovered,detection_type
HD 213885 c,,,4.78503,57.97,1.068,2019.0,Radial Velocity
HD 21411 b,,,84.288,29.15,0.89,2019.0,Radial Velocity
HD 214823 b,,1.082,1853.9,101.7,1.31,2016.0,Radial Velocity
HD 215152 b,,,5.7594199999999995,21.5,0.77,2018.0,Radial Velocity
HD 215152 c,,,7.28345,21.5,0.77,2011.0,Radial Velocity
HD 215152 d,,,10.8642,21.5,0.77,2011.0,Radial Velocity
HD 215152 e,,,25.1968,21.5,0.77,2018.0,Radial Velocity
HD 215456 b,,,191.99,38.0,,2011.0,Radial Velocity
HD 215456 c,,,2277.0,38.0,,2011.0,Radial Velocity
HD 215497 b,,,3.93404,44.0,0.87,2009.0,Radial Velocity
HD 215497 c,,,567.94,44.0,0.87,2009.0,Radial Velocity
HD 216435 b,,,1311.0,33.3,1.3,2002.0,Radial Velocity
HD 216437 b,,,1256.0,26.5,1.06,2002.0,Radial Velocity
HD 216520 b,,,35.45,19.56,0.82,2020.0,Radial Velocity
HD 216520 c,,,154.43,19.56,0.82,2020.0,Radial Velocity
HD 216536 b,,,148.6,,1.36,2015.0,Radial Velocity
HD 216770 b,,,118.45,38.0,0.9,2003.0,Radial Velocity
HD 21693 b,,,22.656,32.4,,2011.0,Radial Velocity
HD 21693 c,,,53.881,32.4,,2011.0,Radial Velocity
HD 217107 b,,,7.126853,19.72,1.02,1998.0,Radial Velocity
HD 217107 c,,,5059.3,19.72,1.02,1998.0,Radial Velocity
HD 217786 A b,,,1319.0,54.8,1.02,2010.0,Radial Velocity
HD 217850 b,,,3508.1,61.0,1.03,2018.0,Radial Velocity
HD 218566 b,,,225.7,29.94,0.85,2010.0,Radial Velocity
HD 219077 b,,,5513.0,29.35,1.05,2012.0,Radial Velocity
HD 219134 b,0.013430000000000001,0.134,3.093292,6.55,0.794,2015.0,Primary Transit
HD 219134 c,0.012459999999999999,0.12624000000000002,6.765159,6.55,0.794,2015.0,Radial Velocity
HD 219134 d,0.052360000000000004,,46.71,6.55,0.794,2015.0,Radial Velocity
HD 219134 e,,,1842.0,6.55,0.794,2015.0,Radial Velocity
HD 219134 f,0.0208,,22.805,6.55,0.794,2015.0,Default
HD 219134 g,,,94.2,6.55,0.794,2015.0,Radial Velocity
HD 219134 h,,,2198.0,6.55,0.794,2015.0,Radial Velocity
HD 219415 b,,,2093.3,,1.0,2012.0,Radial Velocity
HD 219666 b,0.0522,0.4202,6.03607,94.4,0.92,2018.0,Primary Transit
HD 219828 b,,,3.834887,81.1,1.24,2007.0,Radial Velocity
HD 219828 c,,,4791.0,81.1,1.24,2016.0,Radial Velocity
HD 220074 b,,,672.1,290.2,1.2,2012.0,Radial Velocity
HD 220197 b,,,1728.0,64.5,0.91,2018.0,Radial Velocity
HD 220689 b,,,2209.0,44.6,,2011.0,Radial Velocity
HD 220773 b,,,3724.7,49.0,1.16,2012.0,Radial Velocity
HD 220842 A b,,,218.47,62.5,1.13,2016.0,Radial Velocity
HD 221287 b,,,456.1,52.9,1.25,2007.0,Radial Velocity
HD 221416 b,0.1904,0.836,14.2767,95.075,1.212,2019.0,Primary Transit
HD 221420 b,,,22482.0,31.8,1.67,2019.0,Radial Velocity
HD 221585 b,,,1173.0,,1.19,2016.0,Radial Velocity
HD 222076 b,,,871.0,83.5,1.07,2016.0,Radial Velocity
HD 222155 b,,,3999.0,49.1,1.13,2012.0,Radial Velocity
HD 222582 b,,,572.38,42.0,0.99,1999.0,Radial Velocity
HD 224538 b,,,1189.1,77.76,1.54,2016.0,Radial Velocity
HD 224693 b,,,26.73,94.0,1.33,2006.0,Radial Velocity
HD 22496 b,,,5.09071,13.602,0.684,2021.0,Radial Velocity
HD 22781 b,,,528.07,31.79,0.75,2011.0,Radial Velocity
HD 23079 b,,,730.6,34.8,1.1,2001.0,Radial Velocity
HD 23127 b,,,1214.0,89.1,1.13,2007.0,Radial Velocity
HD 231701 b,,,141.89,108.4,1.14,2007.0,Radial Velocity
HD 233604 b,,,192.0,,1.5,2013.0,Radial Velocity
HD 233832 b,,,4047.0,58.8,0.71,2018.0,Radial Velocity
HD 23472 b,0.05637999999999999,0.16701,17.667,39.1,0.75,2018.0,Primary Transit
HD 23472 c,0.05405,0.19172,29.625,39.1,0.75,2018.0,Primary Transit
HD 23596 b,,,1565.0,52.0,1.27,2002.0,Radial Velocity
HD 238090 b,,,13.671,14.24,0.578,2020.0,Radial Velocity
HD 238914 b,,,4100.0,590.0,1.47,2018.0,Radial Velocity
HD 240210 b,,,501.75,143.0,1.25,2009.0,Radial Velocity
HD 240237 b,,,745.7,1500.0,1.69,2010.0,Radial Velocity
HD 24040 b,,,3668.0,46.51,1.18,2006.0,Radial Velocity
HD 24040 c,,,515.4,46.51,1.18,2021.0,Radial Velocity
HD 24064 b,,,555.6,264.4,1.0,2015.0,Radial Velocity
HD 24085 b,,,2.0455,54.97,1.22,2019.0,Radial Velocity
HD 25015 b,,,6019.0,37.45,0.86,2019.0,Radial Velocity
HD 25171 b,,,1845.0,55.0,1.09,2010.0,Radial Velocity
HD 25723 b,,,456.78,117.9,2.12,2020.0,Radial Velocity
HD 25723 c,,,2369.84,117.9,2.12,2020.0,Radial Velocity
HD 26161 b,,,32000.0,,,2021.0,Radial Velocity
HD 2638 b,,1.04,3.4375199999999997,53.71,0.93,2005.0,Radial Velocity
HD 2685 b,1.18,1.44,4.12692,197.98,1.44,2018.0,Primary Transit
HD 26965 b,,,42.378,4.98,0.78,2018.0,Radial Velocity
HD 27442 b,,,415.2,18.1,1.2,2000.0,Radial Velocity
HD 27631 b,,,2208.0,45.5,,2011.0,Radial Velocity
HD 27894 b,,,18.02,42.37,0.8,2005.0,Radial Velocity
HD 27894 c,,,36.07,42.37,0.8,2017.0,Radial Velocity
HD 27894 d,,,5174.0,42.37,0.8,2017.0,Radial Velocity
HD 27969 b,,,654.5,68.06,1.16,2021.0,Radial Velocity
HD 28185 b,,,383.0,39.4,1.24,2001.0,Radial Velocity
HD 28254 A b,,,1116.0,56.2,1.06,2009.0,Radial Velocity
HD 283668 b,,,2558.0,42.3,0.68,2016.0,Radial Velocity
HD 283869 b,,0.1749,106.0,47.51,0.74,2018.0,Primary Transit
HD 284149 b,32.0,,,108.2,1.14,2014.0,Imaging
HD 285507 b,,,6.0962,41.3,0.7340000000000001,2013.0,Radial Velocity
HD 28678 b,,,387.1,227.0,1.74,2011.0,Radial Velocity
HD 29021 b,,,1362.3,30.6,0.85,2017.0,Radial Velocity
HD 290327 b,,,2443.0,54.9,0.9,2009.0,Radial Velocity
HD 29399 b,,,892.7,44.2,1.15,2021.0,Radial Velocity
HD 2952 b,,,311.6,115.2,2.54,2013.0,Radial Velocity
HD 30177 b,,,2532.5,54.7,1.05,2002.0,Radial Velocity
HD 30177 c,,,6921.0,54.7,1.05,2016.0,Radial Velocity
HD 30562 b,,,1157.0,26.5,1.219,2009.0,Radial Velocity
HD 30669 b,,,1684.0,57.0,0.92,2014.0,Radial Velocity
HD 30856 A b,,,912.0,118.1,1.35,2011.0,Radial Velocity
HD 31253 b,,,466.0,53.82,1.23,2010.0,Radial Velocity
HD 31527 b,,,16.557000000000002,38.6,,2011.0,Radial Velocity
HD 31527 c,,,51.2,38.6,,2011.0,Radial Velocity
HD 31527 d,,,274.2,38.6,,2011.0,Radial Velocity
HD 3167 b,0.0158,0.152,0.959624,47.36,0.94,2016.0,Primary Transit
HD 3167 c,0.0308,0.255,29.83832,47.36,0.94,2016.0,Primary Transit
HD 3167 d,,,8.492,47.36,0.94,2017.0,Radial Velocity
HD 32518 b,,,157.54,117.4,1.13,2009.0,Radial Velocity
HD 32963 b,,,2372.0,,0.94,2015.0,Radial Velocity
HD 330075 b,,1.06,3.6413,50.2,0.95,2004.0,Radial Velocity
HD 331093 b,,,621.62,50.265,,2021.0,Radial Velocity
HD 33142 b,,1.235,326.0,126.0,1.54,2011.0,Radial Velocity
HD 33142 c,,1.2770000000000001,809.0,126.0,1.54,2010.0,Radial Velocity
HD 332231 b,0.244,0.867,18.71204,8.56,1.127,2020.0,Primary Transit
HD 33283 b,,0.99,18.1801,86.0,1.24,2006.0,Radial Velocity
HD 33564 b,,,388.0,20.98,1.25,2005.0,Radial Velocity
HD 33632 b,50.0,,39082.0,26.56,1.03,2021.0,Astrometry
HD 33844 b,,,551.4,100.9,1.75,2013.0,Radial Velocity
HD 33844 c,,,916.0,100.9,1.75,2015.0,Radial Velocity
HD 34445 b,,,1056.7,46.5,1.07,2004.0,Radial Velocity
HD 34445 c,,,214.67,46.5,1.07,2017.0,Radial Velocity
HD 34445 d,,,117.87,46.5,1.07,2017.0,Radial Velocity
HD 34445 e,,,49.175,46.5,1.07,2017.0,Radial Velocity
HD 34445 f,,,676.8,46.5,1.07,2017.0,Radial Velocity
HD 34445 g,,,5700.0,46.5,1.07,2017.0,Radial Velocity
HD 35759 b,,,82.46700000000001,72.5,1.15,2016.0,Radial Velocity
HD 3651 b,0.23,,62.25,11.0,0.79,2003.0,Radial Velocity
HD 3651B,53.0,0.8,,11.0,0.79,2006.0,Imaging
HD 37124 b,,,154.378,33.0,0.83,1999.0,Radial Velocity
HD 37124 c,,,885.5,33.0,0.83,2005.0,Radial Velocity
HD 37124 d,,,1862.0,33.0,0.83,2003.0,Radial Velocity
HD 37605 b,,,55.01306999999999,44.0,1.0,2004.0,Radial Velocity
HD 37605 c,,,2720.0,44.0,1.0,2012.0,Radial Velocity
HD 38283 b,,,363.2,37.7,1.085,2011.0,Radial Velocity
HD 38529 b,0.93,,14.3104,39.28,1.48,2000.0,Radial Velocity
HD 38529 c,23.7,,2134.76,39.28,1.48,2002.0,Radial Velocity
HD 38677 b,,,18.57,62.0,1.21,2019.0,Radial Velocity
HD 38677 c,,0.16184,6.584,62.0,1.21,2019.0,Radial Velocity
HD 38677 d,,1.393,2.8819999999999997,62.0,1.21,2020.0,Radial Velocity
HD 38677 e,,1.4709999999999999,5.516,62.0,1.21,2019.0,Radial Velocity
HD 38801 b,,1.1340000000000001,686.8,99.4,1.26,2010.0,Radial Velocity
HD 38858 b,,,407.15,15.2,,2011.0,Radial Velocity
HD 39194 b,,,5.6368,25.9,,2011.0,Radial Velocity
HD 39194 c,,,14.03,25.9,,2011.0,Radial Velocity
HD 39194 d,,,33.91,25.9,,2011.0,Radial Velocity
HD 39392 b,,,394.3,94.2,1.08,2016.0,Radial Velocity
HD 39855 b,,,3.2498,23.28,0.87,2019.0,Radial Velocity
HD 40307 b,,,4.3114,12.8,0.77,2008.0,Radial Velocity
HD 40307 c,,,9.621,12.8,0.77,2008.0,Radial Velocity
HD 40307 d,,,20.412,12.8,0.77,2008.0,Radial Velocity
HD 40307 e,,,34.62,12.8,0.77,2012.0,Radial Velocity
HD 40307 f,,,51.68,12.8,0.77,2012.0,Radial Velocity
HD 40307 g,,,197.8,12.8,0.77,2012.0,Radial Velocity
HD 40956 b,,,578.6,118.0,2.0,2017.0,Radial Velocity
HD 40979 b,,,264.1,33.3,1.1,2002.0,Radial Velocity
HD 41004 A b,,,963.0,42.5,0.7,2004.0,Radial Velocity
HD 41004 B b,,1.06,1.3236299999999999,43.03,0.4,2004.0,Radial Velocity
HD 4113 A b,,,526.62,44.0,0.99,2007.0,Radial Velocity
HD 42012 b,,,857.5,37.1,0.83,2017.0,Radial Velocity
HD 4203 b,,,437.05,77.5,1.13,2001.0,Radial Velocity
HD 4203 c,,,6700.0,77.5,1.13,2014.0,Radial Velocity
HD 4208 b,,,828.0,33.9,0.87,2001.0,Radial Velocity
HD 42618 b,,,149.61,23.5,1.015,2016.0,Radial Velocity
HD 42936 b,,,6.6732,48.9,0.87,2019.0,Radial Velocity
HD 4308 b,,,15.609000000000002,21.9,0.85,2005.0,Radial Velocity
HD 4313 b,,,356.0,137.0,1.72,2010.0,Radial Velocity
HD 43197 b,,,327.8,54.9,0.96,2009.0,Radial Velocity
HD 43691 A b,,,36.99913,93.2,1.38,2007.0,Radial Velocity
HD 44219 b,,,472.3,50.43,1.0,2009.0,Radial Velocity
HD 44385 b,,,473.5,214.0,1.8,2018.0,Radial Velocity
HD 45184 b,,,5.8872,21.9,,2011.0,Radial Velocity
HD 45184 c,,,13.1354,21.9,,2019.0,Radial Velocity
HD 45350 b,,,890.76,49.0,1.02,2004.0,Radial Velocity
HD 45364 b,,,226.93,32.6,0.82,2009.0,Radial Velocity
HD 45364 c,,,342.85,32.6,0.82,2009.0,Radial Velocity
HD 45652 b,,,43.6,36.0,0.83,2008.0,Radial Velocity
HD 46375 A b,,1.02,3.02358,33.4,0.91,2000.0,Radial Velocity
HD 47186 b,,,4.0845,37.84,0.99,2008.0,Radial Velocity
HD 47186 c,,,1353.6,37.84,0.99,2008.0,Radial Velocity
HD 4732 A b,,,360.2,56.5,1.74,2013.0,Radial Velocity
HD 4732 A c,,,2732.0,56.5,1.74,2013.0,Radial Velocity
HD 47366 b,,,363.3,80.0,1.81,2016.0,Radial Velocity
HD 47366 c,,,684.7,80.0,1.81,2016.0,Radial Velocity
HD 4747 b,66.6,,12090.0,18.69,0.82,2016.0,Radial Velocity
HD 47536 b,,,430.0,121.36,0.94,2003.0,Radial Velocity
HD 48265 b,,,700.0,87.4,0.93,2008.0,Radial Velocity
HD 4917 b,,1.224,400.5,134.4,1.32,2013.0,Radial Velocity
HD 49674 b,,0.98,4.94739,40.7,1.07,2002.0,Radial Velocity
HD 50499 b,,,2483.7,47.26,1.31,2005.0,Radial Velocity
HD 50499 c,,,8620.0,47.26,1.31,2005.0,Radial Velocity
HD 50554 b,,,1293.0,31.03,1.04,2002.0,Radial Velocity
HD 51608 b,,,14.071,34.8,,2011.0,Radial Velocity
HD 51608 c,,,95.87,34.8,,2011.0,Radial Velocity
HD 52265 b,,,119.27,28.0,1.2,2000.0,Radial Velocity
HD 5278 b,0.0245,0.2186,14.339020000000001,56.12,1.126,2021.0,Primary Transit
HD 5278 c,,,40.87,56.12,1.126,2021.0,Radial Velocity
HD 5319 b,,,675.0,100.0,1.56,2007.0,Radial Velocity
HD 5319 c,,,886.0,100.0,1.56,2016.0,Radial Velocity
HD 5433 b,,,576.6,62.4,,2021.0,Radial Velocity
HD 55696 b,,,1827.0,72.0,1.29,2018.0,Radial Velocity
HD 5583 b,,,139.35,221.0,1.01,2016.0,Radial Velocity
HD 5608 b,,1.222,779.9,58.2,1.53,2012.0,Radial Velocity
HD 564 b,,,492.3,54.0,0.92,2014.0,Radial Velocity
HD 5891 b,,,177.11,251.0,1.91,2011.0,Radial Velocity
HD 59686 A b,,,299.36,96.8,1.9,2003.0,Radial Velocity
HD 60292 b,,,495.4,318.5,1.7,2020.0,Radial Velocity
HD 60532 b,9.21,,201.83,25.7,1.44,2008.0,Radial Velocity
HD 60532 c,21.81,,607.06,25.7,1.44,2008.0,Radial Velocity
HD 62509 b,,,589.64,10.34,1.47,2006.0,Radial Velocity
HD 63433 b,,0.1918,7.1079300000000005,22.42,0.99,2020.0,Primary Transit
HD 63433 c,,0.2418,20.5456,22.42,0.99,2020.0,Primary Transit
HD 63454 b,,1.06,2.81747,35.8,0.8,2005.0,Radial Velocity
HD 63765 b,,,358.0,32.6,0.865,2009.0,Radial Velocity
HD 64114 b,,,45.791000000000004,31.56,0.95,2019.0,Radial Velocity
HD 6434 b,,,21.998,40.32,0.79,2000.0,Radial Velocity
HD 65216 A b,,,577.6,34.3,0.92,2003.0,Radial Velocity
HD 65216 A c,,,5370.0,34.3,0.92,2011.0,Radial Velocity
HD 66141 b,,,480.5,80.9,1.1,2012.0,Radial Velocity
HD 66428 b,,,1973.0,55.0,1.14552,2006.0,Radial Velocity
HD 66428 c,,,39000.0,55.0,1.14552,2021.0,Radial Velocity
HD 67087 b,,,352.2,88.8,1.36,2015.0,Radial Velocity
HD 67087 c,,,2374.0,88.8,1.36,2015.0,Radial Velocity
HD 6718 b,,,2496.0,55.9,0.96,2009.0,Radial Velocity
HD 68402 b,,,1103.0,78.0,1.12,2016.0,Radial Velocity
HD 68988 b,,,6.2771,58.0,1.2,2001.0,Radial Velocity
HD 68988 c,15.0,,12700.0,58.0,1.2,2006.0,Radial Velocity
HD 69830 b,0.1427,,8.6682,12.6,0.86,2006.0,Radial Velocity
HD 69830 c,0.1649,,31.601,12.6,0.86,2006.0,Radial Velocity
HD 69830 d,0.2529,,200.57,12.6,0.86,2006.0,Radial Velocity
HD 70642 b,,,2231.0,28.8,1.0,2003.0,Radial Velocity
HD 7199 b,,,615.0,36.0,0.89,2011.0,Radial Velocity
HD 72490 b,,1.218,858.0,124.22,1.21,2018.0,Radial Velocity
HD 72659 b,,,3658.0,49.8,0.95,2002.0,Radial Velocity
HD 72892 b,,,39.475,72.78,1.02,2016.0,Radial Velocity
HD 73267 b,,,1260.0,54.91,0.89,2008.0,Radial Velocity
HD 73526 b,,,188.9,99.0,1.08,2002.0,Radial Velocity
HD 73526 c,,,379.1,99.0,1.08,2006.0,Radial Velocity
HD 73534 b,,,1800.0,96.99,1.29,2009.0,Radial Velocity
HD 74156 b,,,51.6385,64.56,1.24,2003.0,Radial Velocity
HD 74156 c,,,2448.9,64.56,1.24,2003.0,Radial Velocity
HD 7449 A b,,,1255.5,39.0,1.05,2011.0,Radial Velocity
HD 7449 A c,,,15441.0,39.0,1.05,2011.0,Radial Velocity
HD 75289 b,,1.03,3.5092800000000004,28.94,1.05,1999.0,Radial Velocity
HD 75784 b,,,341.7,68.7,1.41,2014.0,Primary Transit
HD 75784 c,,,5040.0,68.7,1.41,2015.0,Primary Transit
HD 75898 b,,,418.2,80.58,1.28,2007.0,Radial Velocity
HD 76700 b,,0.99,3.9710099999999997,59.7,1.0,2002.0,Radial Velocity
HD 76920 b,,,415.89,184.8,1.17,2017.0,Radial Velocity
HD 77065 b,,,119.1135,31.7,0.75,2016.0,Radial Velocity
HD 77338 b,,,5.7561,40.75,0.93,2012.0,Radial Velocity
HD 79211 b,,,24.45,6.334,0.64,2020.0,Radial Velocity
HD 7924 b,,1.05,5.39792,16.8,0.8320000000000001,2009.0,Radial Velocity
HD 7924 c,,,15.299000000000001,16.8,0.8320000000000001,2015.0,Radial Velocity
HD 7924 d,,,24.451,16.8,0.8320000000000001,2015.0,Radial Velocity
HD 79498 b,,,1966.0,49.0,1.06,2012.0,Radial Velocity
HD 80606 b,3.94,0.9209999999999999,111.43637,58.4,0.98,2001.0,Primary Transit
HD 80653 b,0.01762,0.14400000000000002,0.7195729999999999,109.86,1.18,2020.0,Primary Transit
HD 80869 b,,,1711.7,85.6,1.08,2021.0,Radial Velocity
HD 81040 b,,,1001.7,32.56,0.96,2005.0,Radial Velocity
HD 81688 b,,,184.02,88.26,2.1,2008.0,Radial Velocity
HD 81817 b,,,1047.1,269.0,4.3,2020.0,Radial Velocity
HD 82886 b,,,705.0,125.0,1.06,2011.0,Radial Velocity
HD 82943 b,14.5,,442.4,27.46,1.18,2003.0,Radial Velocity
HD 82943 c,14.39,,219.3,27.46,1.18,2003.0,Radial Velocity
HD 82943 d,,,1078.0,27.46,1.18,2013.0,Radial Velocity
HD 8326 b,,,159.0,30.71,0.8,2019.0,Radial Velocity
HD 83443 b,,1.04,2.98572,43.54,0.9,2002.0,Radial Velocity
HD 8535 b,,,1313.0,52.5,1.13,2009.0,Radial Velocity
HD 85390 b,,,799.52,33.96,0.76,2009.0,Radial Velocity
HD 85512 b,,,58.43,11.15,0.69,2011.0,Radial Velocity
HD 85628 A b,3.1,1.53,2.82406,171.54,1.75,2019.0,Primary Transit
HD 8574 b,,,227.55,44.2,1.17,2003.0,Radial Velocity
HD 86081 A b,,1.08,1.9980900000000001,91.0,1.21,2006.0,Radial Velocity
HD 86226 b,,,1628.0,42.48,1.02,2010.0,Radial Velocity
HD 86264 b,,,1475.0,72.6,1.42,2009.0,Radial Velocity
HD 8673 A b,,,1634.0,38.25,1.35,2010.0,Radial Velocity
HD 86950 b,,,1270.0,169.0,1.66,2016.0,Radial Velocity
HD 87646 A b,,,13.481,,1.12,2016.0,Radial Velocity
HD 87646 A c,,,674.0,,1.12,2016.0,Radial Velocity
HD 87883 b,81.9,,2754.0,18.1,0.82,2009.0,Radial Velocity
HD 88133 b,,1.0,3.41566,74.5,1.2,2004.0,Radial Velocity
HD 89307 b,,,2199.0,30.9,1.028,2004.0,Radial Velocity
HD 89345 b,0.1123,0.612,11.813989999999999,126.6,1.12,2018.0,Primary Transit
HD 89744 b,10.32,,256.78,40.0,1.4,2000.0,Radial Velocity
HD 89744 c,,,6974.0,40.0,1.4,2013.0,Radial Velocity
HD 90156 b,,,49.77,39.6,0.84,2009.0,Radial Velocity
HD 91669 b,,,497.5,71.725,0.914,2008.0,Radial Velocity
HD 9174 b,,,1179.0,78.93,1.03,2016.0,Radial Velocity
HD 92788 b,27.02,,325.8,32.82,1.15,2000.0,Radial Velocity
HD 92788 c,,,11611.3,32.82,1.15,2013.0,Radial Velocity
HD 92987 b,,,10790.0,43.66,1.08,2019.0,Radial Velocity
HD 93083 b,,,143.58,28.9,0.7,2005.0,Radial Velocity
HD 93385 A b,,,7.3426,42.2,,2021.0,Radial Velocity
HD 93385 A c,,,13.18,42.2,,2011.0,Radial Velocity
HD 93385 A d,,,46.025,42.2,,2011.0,Radial Velocity
HD 9446 b,,,30.0608,53.0,1.0,2010.0,Radial Velocity
HD 9446 c,,,189.6,53.0,1.0,2010.0,Radial Velocity
HD 94834 b,,1.242,1576.0,81.0,1.11,2018.0,Radial Velocity
HD 95086 b,2.6,,,90.4,1.6,2013.0,Imaging
HD 95089 b,,,507.0,139.0,1.58,2010.0,Radial Velocity
HD 95089 c,,,1860.0,139.0,1.58,2010.0,Radial Velocity
HD 95127 b,,,482.0,300.0,1.2,2015.0,Radial Velocity
HD 95338 b,0.12405999999999999,0.3551,55.086000000000006,36.9,0.76,2020.0,Primary Transit
HD 95544 b,,,2172.0,88.02,1.09,2021.0,Radial Velocity
HD 9578 b,,,494.0,57.24,1.12,2009.0,Radial Velocity
HD 95872 b,,,4375.0,72.3704,0.95,2015.0,Radial Velocity
HD 96063 b,,,361.1,158.0,1.02,2011.0,Radial Velocity
HD 96127 b,,,647.3,540.0,0.91,2011.0,Radial Velocity
HD 96167 b,,,498.9,84.0,1.31,2009.0,Radial Velocity
HD 96700 b,,,8.1245,25.6,,2011.0,Radial Velocity
HD 96700 c,,,19.88,25.6,,2021.0,Radial Velocity
HD 96700 d,,,103.5,25.6,,2011.0,Radial Velocity
HD 97334 b,53.0,,,22.6538,0.05,2001.0,Imaging
HD 97619 b,,,665.9,213.0,1.3,2018.0,Radial Velocity
HD 97658 b,0.024569999999999998,0.20047,9.489295,21.1,0.85,2010.0,Primary Transit
HD 98219 b,,,436.9,134.0,1.3,2011.0,Radial Velocity
HD 984 b,48.0,,,47.1,1.2,2017.0,Imaging
HD 98649 b,,,6023.0,40.3,1.03,2011.0,Radial Velocity
HD 98736 b,,,968.8,31.0,0.92,2018.0,Radial Velocity
HD 99109 b,,,439.3,60.5,0.93,2006.0,Radial Velocity
HD 99492 b,,,17.054000000000002,18.0,0.83,2004.0,Radial Velocity
HD 99706 b,,,868.0,129.0,1.72,2011.0,Radial Velocity
HD 99706 c,,,1123.0,129.0,1.72,2010.0,Radial Velocity
HD108236 b,,0.14149,3.79523,64.6,0.853,2020.0,Primary Transit
HD108236 c,,0.1845,6.2037,64.6,0.853,2020.0,Primary Transit
HD108236 d,,0.2427,14.17555,64.6,0.853,2020.0,Primary Transit
HD108236 e,,0.2783,19.5917,64.6,0.853,2020.0,Primary Transit
HII 1348 b,59.0,,,127.0,,2012.0,Imaging
HIP 105854 b,,,184.2,80.84,2.1,2014.0,Radial Velocity
HIP 107772 b,,,55.19,23.66,,2020.0,Radial Velocity
HIP 107773 b,,,144.3,106.0,2.42,2015.0,Radial Velocity
HIP 109384 b,,,499.48,56.2,0.78,2016.0,Radial Velocity
HIP 109600 b,,,232.08,58.6,0.87,2016.0,Radial Velocity
HIP 114933 b,,,1481.6,102.06,1.39,2020.0,Radial Velocity
HIP 116454 b,0.0372,0.226,9.1265,55.2,0.775,2014.0,Primary Transit
HIP 11915,,,3830.0,57.3,1.0,2015.0,Radial Velocity
HIP 12961 b,,,57.435,23.0,0.67,2009.0,Radial Velocity
HIP 14810 b,,,6.6738550000000005,52.9,0.99,2006.0,Radial Velocity
HIP 14810 c,,,147.73,52.9,0.99,2006.0,Radial Velocity
HIP 14810 d,,,962.0,52.9,0.99,2009.0,Radial Velocity
HIP 3206 b,,,1211.0,,,2021.0,Radial Velocity
HIP 35173 b,,,41.516000000000005,33.19,0.79,2019.0,Radial Velocity
HIP 36985 b,,,8500.0,14.07,0.621,2019.0,Radial Velocity
HIP 38594 b,,,60.722,17.798,,2020.0,Radial Velocity
HIP 38594 c,,,3477.8,17.798,,2020.0,Radial Velocity
HIP 38939 B,38.0,,,18.4839,,2012.0,Imaging
HIP 41378 b,,0.26,15.5712,116.0,1.15,2016.0,Primary Transit
HIP 41378 c,,0.228,31.6978,116.0,1.15,2016.0,Primary Transit
HIP 41378 d,,0.353,156.0,116.0,1.15,2016.0,Primary Transit
HIP 41378 e,,0.4916,131.0,116.0,1.15,2016.0,Primary Transit
HIP 41378 f,,0.91,324.0,116.0,1.15,2016.0,Primary Transit
HIP 41378 g,,,62.06,116.0,1.15,2019.0,Radial Velocity
HIP 4845 b,,,34.15,21.11,,2020.0,Radial Velocity
HIP 48714 b,,,17.817999999999998,10.533,,2020.0,Radial Velocity
HIP 5158 b,,,345.63,45.0,0.78,2009.0,Radial Velocity
HIP 5158 c,,,9018.0,45.0,0.78,2010.0,Radial Velocity
HIP 54373 b,,,7.76,18.73,0.57,2019.0,Radial Velocity
HIP 54373 c,,,15.144,18.73,0.57,2019.0,Radial Velocity
HIP 56640 b,,,2574.9,122.76,1.04,2020.0,Radial Velocity
HIP 57050 b,,,41.38,11.02,0.354,2010.0,Radial Velocity
HIP 57050 c,,,532.635,11.02,0.354,2017.0,Radial Velocity
HIP 57274 b,,,8.1352,25.92,0.73,2011.0,Radial Velocity
HIP 57274 c,,,32.03,25.92,0.73,2011.0,Radial Velocity
HIP 57274 d,,,431.7,25.92,0.73,2011.0,Radial Velocity
HIP 63242 b,,,124.6,135.0,1.54,2013.0,Radial Velocity
HIP 64892 b,33.0,,,125.0,2.35,2018.0,Imaging
HIP 65407 b,,,28.125,16.74,0.93,2016.0,Radial Velocity
HIP 65407 c,,,67.3,16.74,0.93,2016.0,Radial Velocity
HIP 65426 b,9.9,1.5,,109.2,1.96,2017.0,Imaging
HIP 65A b,3.213,2.03,0.9809734,61.89,0.7809999999999999,2020.0,Primary Transit
HIP 67522 b,5.0,0.8984,6.959503,127.27,1.22,2020.0,Primary Transit
HIP 67537 b,,,2592.5,112.6,2.41,2016.0,Radial Velocity
HIP 67851 b,,,88.9,65.96,1.63,2014.0,Radial Velocity
HIP 67851 c,,,2131.8,65.96,1.63,2015.0,Radial Velocity
HIP 68468 b,,,1.8372,87.8,1.05,2016.0,Radial Velocity
HIP 68468 c,,,194.0,87.8,1.05,2016.0,Radial Velocity
HIP 70849 b,,,10000.0,24.0,0.63,2009.0,Radial Velocity
HIP 71135 b,,,87.19,32.36,0.66,2019.0,Radial Velocity
HIP 73990 b,21.0,,,125.0,1.72,2015.0,Imaging
HIP 73990 c,22.0,,,125.0,1.72,2015.0,Imaging
HIP 74865 b,28.0,,,115.0,1.42,2015.0,Imaging
HIP 74890 b,,,822.3,91.6,1.74,2016.0,Radial Velocity
HIP 75056 b,25.0,2.0,47500.0,,,2020.0,Imaging
HIP 75092 b,,,926.4,81.86,1.28,2021.0,Radial Velocity
HIP 75458 b,16.4,,510.855,31.5,1.4,2002.0,Radial Velocity
